State.Code,County.Code,Latitude,Longitude,Date.Local,CO.Units,CO.Mean,State.Name,County.Name,City.Name,NO2.Units,NO2.Mean,Ozone.Units,Ozone.Mean,SO2.Units,SO2.Mean,AQI
8,1,39.838119,-104.94984,2020-01-01,Parts per million,0.1759693937947494,Colorado,Adams,Welby,Parts per billion,22.650144892857142,Parts per million,0.0315843406326034,Parts per billion,0.6161704866071429,29.666666666666668
10,3,39.739444,-75.558056,2020-01-01,Parts per million,0.40056338726333907,Delaware,New Castle,Wilmington,Parts per billion,14.5312694734748,NA,NA,NA,NA,22.333333333333332
23,5,43.660246,-70.268965,2020-01-02,Parts per million,0.24991150250417363,Maine,Cumberland,Portland,NA,NA,NA,NA,NA,NA,19
44,7,41.829495,-71.417457,2020-01-01,Parts per million,0.4303619841269841,Rhode Island,Providence,Providence,Parts per billion,7.138487844444445,NA,NA,NA,NA,34
23,9,44.37705,-68.2609,2020-01-01,Parts per million,0.13506833966745843,Maine,Hancock,Not in a city,NA,NA,NA,NA,Parts per billion,0.36087155431754875,17.666666666666668
4,13,33.483779999999996,-112.14256,2020-01-01,Parts per million,0.5230152094395281,Arizona,Maricopa,Phoenix,Parts per billion,11.252618265842349,Parts per million,0.02701534518647008,NA,NA,17.666666666666668
38,15,46.825424999999996,-100.76821,2020-01-01,Parts per million,0.20916817486338798,North Dakota,Burleigh,Bismarck,NA,NA,NA,NA,NA,NA,10
17,19,40.05278,-88.37250999999999,2020-01-30,Parts per million,0.09602872,Illinois,Champaign,Bondville,NA,NA,NA,NA,NA,NA,5.333333333333333
42,21,40.309722,-78.915,2020-01-01,Parts per million,0.11634777729257642,Pennsylvania,Cambria,Johnstown,NA,NA,NA,NA,NA,NA,12.333333333333334
24,23,39.70595,-79.012,2020-01-01,Parts per million,0.11854800558659218,Maryland,Garrett,Grantsville,Parts per billion,1.69614902247191,NA,NA,Parts per billion,0.3009521671309192,14.333333333333334
25,25,42.3295,-71.0826,2020-01-01,Parts per million,0.2628247875,Massachusetts,Suffolk,Boston,NA,NA,NA,NA,NA,NA,14.333333333333334
24,27,39.14313,-76.84611,2020-01-01,Parts per million,0.2928218231292517,Maryland,Howard,North Laurel,Parts per billion,10.647185345833334,NA,NA,NA,NA,16.666666666666668
36,29,42.876906999999996,-78.80952599999999,2020-01-01,Parts per million,0.2370381121718377,New York,Erie,Buffalo,Parts per billion,8.173188355263157,NA,NA,Parts per billion,0.2987368973063973,18
8,31,39.751183999999995,-104.987625,2020-01-01,Parts per million,0.37965689468405217,Colorado,Denver,Denver,Parts per billion,17.201856415701414,NA,NA,Parts per billion,0.756810081705151,21
22,33,30.461980999999998,-91.17921899999999,2020-01-01,Parts per million,0.22098486229508196,Louisiana,East Baton Rouge,Baton Rouge,Parts per billion,7.524365091666667,NA,NA,Parts per billion,0.5185976148325359,19.666666666666668
39,35,41.504605,-81.69045,2020-01-01,Parts per million,0.15145352264600714,Ohio,Cuyahoga,Cleveland,NA,NA,NA,NA,NA,NA,18
54,39,38.346258,-81.621161,2020-01-01,Parts per million,0.19663710774410775,West Virginia,Kanawha,Charleston,NA,NA,NA,NA,Parts per billion,0.5185855731707317,11
8,41,38.830895,-104.839243,2020-01-01,Parts per million,0.4240542314049587,Colorado,El Paso,Colorado Springs,NA,NA,NA,NA,Parts per billion,0.37566357,22.5
28,49,32.329111,-90.182722,2020-01-01,Parts per million,0.12300829496402878,Mississippi,Hinds,Jackson,Parts per billion,8.763413125252525,NA,NA,Parts per billion,0.21186147204968944,23
31,55,41.247485999999995,-95.973142,2020-01-01,Parts per million,0.2830180273224044,Nebraska,Douglas,Omaha,NA,NA,NA,NA,Parts per billion,0.4699569340659341,13.333333333333334
49,57,41.303613999999996,-111.987871,2020-01-01,Parts per million,0.0432967695473251,Utah,Weber,Harrisville,NA,NA,NA,NA,NA,NA,13.666666666666666
21,61,37.131789999999995,-86.14295299999999,2020-01-01,Parts per million,0.2677243868501529,Kentucky,Edmonson,Not in a city,NA,NA,NA,NA,Parts per billion,0.44199116203703703,12.666666666666666
39,67,40.332933,-80.93340099999999,2020-01-01,Parts per million,0.24228046590909091,Ohio,Harrison,Not in a city,NA,NA,NA,NA,NA,NA,13.666666666666666
8,69,40.57747,-105.07892,2020-01-01,Parts per million,0.2144615769230769,Colorado,Larimer,Fort Collins,NA,NA,NA,NA,NA,NA,30
22,71,29.996012999999998,-90.11819,2020-01-01,Parts per million,0.3744322732240437,Louisiana,Orleans,New Orleans,Parts per billion,5.975497947019868,NA,NA,NA,NA,26.666666666666668
1,73,33.553056,-86.815,2020-01-01,Parts per million,0.3423837777777778,Alabama,Jefferson,Birmingham,Parts per billion,12.966145596774194,Parts per million,0.026227243902439024,Parts per billion,1.2473462608695651,25.333333333333332
45,79,34.093959,-80.962304,2020-01-01,Parts per million,-0.03186755639097744,South Carolina,Richland,Dentsville (Dents),NA,NA,NA,NA,NA,NA,12.666666666666666
36,81,40.73614,-73.82153,2020-01-01,Parts per million,0.31922578048780487,New York,Queens,New York,Parts per billion,20.26653,NA,NA,NA,NA,12.333333333333334
6,83,34.48974,-120.04692,2020-01-01,Parts per million,0.16657147101449277,California,Santa Barbara,Capitan,Parts per billion,1.5938168410596025,NA,NA,Parts per billion,0.21583423178807948,10.333333333333334
13,89,33.6878,-84.29050000000001,2020-01-01,Parts per million,0.2717642727272727,Georgia,DeKalb,Not in a city,Parts per billion,12.318418631578947,NA,NA,Parts per billion,1.9800552981727575,18
18,97,39.810832999999995,-86.11444399999999,2020-01-01,Parts per million,0.18521860995850623,Indiana,Marion,Indianapolis (Remainder),Parts per billion,11.268327141666667,NA,NA,NA,NA,14
36,101,42.09142,-77.20978,2020-01-01,Parts per million,0.1648700111111111,New York,Steuben,Not in a city,NA,NA,NA,NA,Parts per billion,0.3968929963369963,13
